"site","region","apn","product","part_description","sto_class","min_level","supplier_lead_time","expected_daily_rate","actual_daily_rate","consumed_180d","actual_vs_expected_ratio"
"AUS2","NA","1002613","USP","VALVE, CHECK VALVE,ASSEMBLY:FLOW CONTROL W/ PILOT CHECK VALVE 1/4 TUBE WITH1/8 T","01 HIGH","1.0","21.0","0.0476",,,
"AUS2","NA","10043","USP","PLC, CONTROLLER,PROGRAMMABLE:2-1/2 INHT,3-1/2 INWD,1-1/2 INDP,24 V DCVOLT,2.6 MACURRE","02 MED","0.0",,,,,
"AUS2","NA","1004322","USP","PUSHBUTTON METAL LATCH","02 MED","1.0",,,,,
"AUS2","NA","10076","USP","UNWIND DANCER ARM UNWIND SPRING","02 MED","1.0","21.0","0.0476",,,
"AUS2","NA","10086","USP","WASHER: CAPTURE CTM PM-FANU30375","03 LOW","1.0","25.0","0.04",,,
"AUS2","NA","10087","USP","THREADED INSERT CTM C-PM-INS1010","03 LOW","1.0","14.0","0.0714",,,
"AUS2","NA","10090","USP","Shoulder Screw,18-8 Stainless Steel,3/8"""" Shoulder Dia., 1"""" Shoulder Length,5/16-18 Thread,PK2","03 LOW","1.0","24.0","0.0417",,,
"AUS2","NA","10095","USP","FLANGED BUSHING","03 LOW","2.0","21.0","0.0952",,,
"AUS2","NA","10096","USP","WASHER: THRUST, BRONZE","02 MED","3.0","34.0","0.0882",,,
"AUS2","NA","10105","USP","SPRING: REWIND CLUTCH, MED DUTY, .97OD X .080 WIRE DIA","02 MED","2.0","21.0","0.0952",,,
"AUS2","NA","1060925","USP","RING-GRIP QUICK-RELEASE PIN","01 HIGH","1.0","3.0","0.3333",,,
"AUS2","NA","1061198","USP","OLFLEXÂ® VFD SLIM, 14 AWG/4C, REDUCED DIAMETER VFD CABLE WITH ""SURGE GUARD""","02 MED","1.0","21.0","0.0476",,,
"AUS2","NA","1061526","USP","SERVO DRVE AMP JR_AUTO JR0000549642","02 MED","0.0",,,,,
"AUS2","NA","1061778","USP","RT-B1221","02 MED","0.0","21.0","0.0",,,
"AUS2","NA","1069554","USP","POWER IO CABLE M12 FOR COGNEX CONN MODULE W DB9","02 MED","1.0","21.0","0.0476",,,
"AUS2","NA","1071515","USP","Radial/Deep Groove Ball Bearing - Round Bore, 25 mm ID, 42 mm OD, 9 mm Width, Double Shielded, Internal Clearance","02 MED","1.0","28.0","0.0357",,,
"AUS2","NA","1071516","USP","REPLACEMENT BELT – 18”W FOR CO","01 HIGH","1.0","21.0","0.0476",,,
"AUS2","NA","1073001","USP","3600 TAMP or SWING HOME SENSOR ASSEMBLY without MOUNT","02 MED","1.0","21.0","0.0476",,,
"AUS2","NA","11082","USP","SMART PACK FILTER REPLACEMENT  (PID)","03 LOW","1.0",,,,,
"AUS2","NA","11147","USP","VHI425A-GV W/ GV4G6","01 HIGH","0.0","29.0","0.0","0.0","0.0",
"AUS2","NA","1116318","USP","ULTRASONIC SENSOR, PICO+","02 MED","0.0","21.0","0.0",,,
"AUS2","NA","1124355","USP","FIXED DRAW ROLLER, SMART PAC","02 MED","0.0","100.0","0.0",,,
"AUS2","NA","1124729","USP","Pan and Tilt Camera Mount PTU-BE","01 HIGH","1.0","38.0","0.0263",,,
"AUS2","NA","11409","USP","TAMPA","02 MED","1.0","35.0","0.0286",,,
"AUS2","NA","11424","USP","UNWIND BRAKE BAND CTM PM-BB1030","01 HIGH","2.0","23.0","0.087",,,
"AUS2","NA","129198","USP","Touch Screen, 10.4"""", TFT Color, 24V DC","02 MED","0.0","35.0","0.0",,,
"AUS2","NA","14325","USP","WIRING TOOL required for insertion/extraction @ terminal strip","02 MED","0.0","35.0","0.0",,,
"AUS2","NA","19978","USP","TIME DELAY FUSE, 30A, CLASS J, 300KA, 600VAC","02 MED","1.0",,,,,
"AUS2","NA","2066701","USP","ROLLER, MOVING DRAW ROLLER (SMART PAC)","02 MED","0.0","70.0","0.0",,,
"AUS2","NA","2066703","USP","BEARING BLOCK, LINEAR","02 MED","0.0","35.0","0.0",,,
"AUS2","NA","3015434","USP","SWIVEL GRIPPER HEAD","01 HIGH","1.0","21.0","0.0476",,,
"AUS2","NA","3015435","USP","VERTICAL JAW CABLE MANAGEMENT BACKING PLATE","01 HIGH","1.0","42.0","0.0238",,,
"AUS2","NA","3022931","USP","MALE INSERT 5 PIN","01 HIGH","0.0","66.0","0.0","0.0056","1.0",
"AUS2","NA","3022932","USP","SENSOR FLAG PIN, USP TRIGGER GATE","01 HIGH","1.0","108.0","0.0093",,,
"AUS2","NA","3022933","USP","STANDARD HOOD TOP ENTRY","01 HIGH","1.0","38.0","0.0263",,,
"AUS2","NA","3022934","USP","SMC Shock Absorber, RBC1007, 46.7 mm Body Length, 63.7 mm Body Length, M10 x 1 Thread Size","01 HIGH","1.0","38.0","0.0263",,,
"AUS2","NA","3022935","USP","M8 LOCK WASHERS (OR BLACK OXIDE EQUIVALENT)","01 HIGH","1.0","24.0","0.0417",,,
"AUS2","NA","3022938","USP","CAPTIVE SCREW RETAINER","01 HIGH","1.0","21.0","0.0476",,,
"AUS2","NA","3022940","USP","VERTICAL JAW CABLE MANAGEMENT BACKING PLATE","01 HIGH","1.0","38.0","0.0263",,,
"AUS2","NA","3022941","USP","VERTICAL TOP, POWERSONIC MATED M12 + LBO2K","01 HIGH","0.0","70.0","0.0","0.0056","1.0",
"AUS2","NA","3022942","USP","CLAMP, LOOP NYLON 7/8"" X 1 1/2","01 HIGH","1.0","21.0","0.0476",,,
"AUS2","NA","3022943","USP","HORIZONTAL REAR, POWERSONIC MATED M12 + LBO3K","01 HIGH","0.0","70.0","0.0",,,
"AUS2","NA","3022944","USP","CAPTIVE GUARDING SCREWS","01 HIGH","1.0","24.0","0.0417",,,
"AUS2","NA","3022945","USP","VERTICAL BOTTOM LOAD CELL","01 HIGH","0.0","70.0","0.0",,,
"AUS2","NA","3022947","USP","HORIZONTAL JAW CABLE MANAGEMENT BACKING PLATE","01 HIGH","1.0","38.0","0.0263",,,
"AUS2","NA","3022948","USP","FLAT HEAD SOCKET CAP SCREW","01 HIGH","1.0","24.0","0.0417",,,
"AUS2","NA","3022949","USP","MCMASTER ZIP TIE MOUNT","01 HIGH","3.0","24.0","0.125",,,
"AUS2","NA","3022950","USP","HORIZONTAL FRONT, POWERSONIC MATED M12 + LBO3K","01 HIGH","0.0","70.0","0.0",,,
"AUS2","NA","3022952","USP","GALVANIZED STEEL , EPDM CUSHIO","01 HIGH","1.0","24.0","0.0417",,,
"AUS2","NA","3022953","USP","GUARDING T-BLOCK","01 HIGH","1.0","24.0","0.0417",,,
"AUS2","NA","3022956","USP","ROTATED CABLE EXIT VERTICAL LOAD CELL HOLDER BLOCK","01 HIGH","1.0","108.0","0.0093",,,
"AUS2","NA","3022957","USP","WASHER, M5, SST","01 HIGH","3.0","24.0","0.125",,,
"AUS2","NA","3022958","USP","DIVERT PLATE, TOP","01 HIGH","0.0","94.0","0.0","0.0111","2.0",
"AUS2","NA","3022959","USP","SHOULDER BOLT, 12MMX40MM, M10","01 HIGH","1.0","42.0","0.0238",,,
"AUS2","NA","3022961","USP","FRONT PLATE","01 HIGH","1.0","94.0","0.0106",,,
"AUS2","NA","3022962","USP","DIVERT PLATE, LEFT","01 HIGH","0.0","30.0","0.0",,,
"AUS2","NA","3022964","USP","DIVERT PLATE, REJECT COVER","01 HIGH","1.0","94.0","0.0106",,,
"AUS2","NA","3022967","USP","ZIP TIES, STANDARD","01 HIGH","0.0","24.0","0.0",,,
"AUS2","NA","3022969","USP","VERTICAL CARTRIDGE HEATER","01 HIGH","0.0","66.0","0.0",,,
"AUS2","NA","3022970","USP","CUTTING KNIFE ASSEMBLY","01 HIGH","0.0","108.0","0.0","0.0222","4.0",
"AUS2","NA","3022971","USP","FAST CONNECTION-PEG","01 HIGH","1.0","24.0","0.0417",,,
"AUS2","NA","3022976","USP","FLAT HEAD SOCKET CAP SCREW","01 HIGH","1.0","24.0","0.0417",,,
"AUS2","NA","3022977","USP","GUIDED PNUEMATIC CYLINDER DFM-16-125-B-PPV-A-KF","01 HIGH","0.0","25.0","0.0",,,
"AUS2","NA","3022978","USP","LIDAR SENSOR PICS150-01000 core 1","01 HIGH","1.0","95.0","0.0105",,,
"AUS2","NA","3022981","USP","UNDER JAW BULK HEAD PLATE","01 HIGH","1.0","108.0","0.0093",,,
"AUS2","NA","3022982","USP","LEFT ISOLATOR PLATE","01 HIGH","0.0","70.0","0.0",,,
"AUS2","NA","3022983","USP","RIGHT ISOLATOR PLATE","01 HIGH","0.0","70.0","0.0","0.0056","1.0",
"AUS2","NA","3022984","USP","8MM X 14MM LOW SOCKET HEAD MACHINE SCREWS (OR BLACK OXIDE EQUIVALENT)","01 HIGH","1.0","24.0","0.0417",,,
"AUS2","NA","3022985","USP","ROTATED CABLE EXIT HORIZONTAL LOAD CELL HOLDER BLOCK","01 HIGH","0.0","24.0","0.0",,,
"AUS2","NA","3022987","USP","IO-LINK MASTER, ETHERNET/IP INTERFACE, TOTAL IN- AND OUTPUTS: 16, 4X 2A OUTPUTS","01 HIGH","0.0","45.0","0.0",,,
"AUS2","NA","3025738","USP","COATED 9"" FOUR HOLE AIR ASSIST TUBE - MP-211-2230-9","01 HIGH","0.0","1.0","0.0",,,
"AUS2","NA","3026266","USP","Control Block","01 HIGH","1.0","21.0","0.0476",,,
"AUS2","NA","3029777","USP","Ring, Centering sleeve ZBH-7-B","01 HIGH","1.0","28.0","0.0357",,,
"AUS2","NA","3029778","USP","CABLE, NIP ROLLER MOTOR SERVO","01 HIGH","0.0","70.0","0.0",,,
"AUS2","NA","3031139","USP","RIGHT HORIZONTAL HEATER CABLE","01 HIGH","1.0","21.0","0.0476",,,
"AUS2","NA","3032133","USP","COMPRESSION SPRING T=1.4 OD=20 ID=17","01 HIGH","1.0","28.0","0.0357",,,
"AUS2","NA","3033957","USP","Ring, Centering sleeve ZBH-5-B","01 HIGH","1.0","28.0","0.0357",,,
"AUS2","NA","3037848","USP","LEFT VER HEATER CABLE ASSY","01 HIGH","1.0","108.0","0.0093",,,
"AUS2","NA","3037849","USP","RIGHT VER HEATER CABLE ASSY","01 HIGH","1.0","108.0","0.0093",,,
"AUS2","NA","3037850","USP","ZIP TIES, STANDARD","01 HIGH","0.0","24.0","0.0",,,
"AUS2","NA","3037851","USP","ALTERNATE PLASTIC P-CLIP (MUST DRILL MOUNTING HOLE TO M6)","01 HIGH","1.0","24.0","0.0417",,,
"AUS2","NA","3037852","USP","LEFT HOR HEATER CABLE ASSY","01 HIGH","1.0","108.0","0.0093",,,
"AUS2","NA","3043368","USP","Sensor Cable, 5m Grey, M12 Female 4P Angled to Open Ended, Continuous Flex, PUR","02 MED","1.0","21.0","0.0476",,,
"AUS2","NA","3043376","USP","ZLD18-BFZ4B8 SIMPLE SENSE","01 HIGH","1.0","42.0","0.0238",,,
"AUS2","NA","3043384","USP","SAFE COUPLING RELAY WITH SAFE","02 MED","0.0","70.0","0.0",,,
"AUS2","NA","3043399","USP","D-MAX WEB GUIDE CONTROLLER,INPUT VOLTAGE 24 - 48 VDC, 6 DIGITAL INPUTS, 2 OUTPUT","01 HIGH","0.0","56.0","0.0",,,
"AUS2","NA","3043405","USP","SENSOR CABLE FEMALE 5-POLE M12 STRAIGHT A CODED TO OPEN END PUR BLACK 5M","02 MED","1.0","21.0","0.0476",,,
"AUS2","NA","3043407","USP","SICK IME2S Series Non-Flush Inductive Non-Contact Safety Switch, 24V dc, Nickel Plated Brass Housing, 2NO, M12","01 HIGH","1.0","42.0","0.0238",,,
"AUS2","NA","3043408","USP","M12, 5-pin female to flying leads, 10m Cable","02 MED","1.0","35.0","0.0286",,,
"AUS2","NA","3043436","USP","Kinetix 5700 Servo Drive","03 LOW","0.0","10.0","0.0",,,
"AUS2","NA","3208459","USP","FIELD ATTACHABLE CONNECTOR","01 HIGH","1.0","21.0","0.0476",,,
"AUS2","NA","33053","USP","SENSOR CABLE, 5M GREY, M12 FEMALE 8P STRAIGHT TO OPEN ENDED, CONTINUOUS FLEX, PUR-OB","02 MED","1.0",,,,,
"AUS2","NA","3361381","USP","Fork sensor","01 HIGH","0.0","28.0","0.0",,,
"AUS2","NA","3466132","USP","PNUEMATIC FITTING","01 HIGH","2.0","21.0","0.0952",,,
"AUS2","NA","3466134","USP","ROLLING BEARING  61802-2RS1","01 HIGH","2.0","4.0","0.5",,,
"AUS2","NA","3466138","USP","VERTICAL VPL SERIES, FRAME SIZE 100MM, T WINDING, RATED SPEED 7200-80","01 HIGH","1.0","21.0","0.0476",,,
"AUS2","NA","3466140","USP","KINETIX VP LOW INERTIA MOTOR,","01 HIGH","1.0","21.0","0.0476",,,
"AUS2","NA","3466144","USP","SERVO DRIVE","01 HIGH","1.0","21.0","0.0476",,,
"AUS2","NA","3466145","USP","RIGHT HORIZONTAL SEAL BAR ASSY","01 HIGH","0.0","21.0","0.0",,,
"AUS2","NA","3466149","USP","PIVOT BLOCK","01 HIGH","2.0","14.0","0.1429",,,
"AUS2","NA","3466152","USP","SENSOR MOUNT","01 HIGH","1.0","21.0","0.0476",,,
"AUS2","NA","3466153","USP","RIGHT VERTICAL SEAL BAR ASSY","01 HIGH","0.0","21.0","0.0",,,
"AUS2","NA","3466158","USP","SPRING PLUNGER, BALL-NOSE HARD","01 HIGH","1.0","4.0","0.25",,,
"AUS2","NA","3466170","USP","DSNU, BORE 25MM, STROKE 100MM, DOUBLE ACTING, LATERAL AIR,","01 HIGH","1.0","21.0","0.0476",,,
"AUS2","NA","3466191","USP","ROD COUPLER, M10X1.25, STEEL (","01 HIGH","1.0","21.0","0.0476",,,
"AUS2","NA","3466204","USP","M8X1.25 X 16 MM LG, STROKE 1.5MM, MAX TEMP. 250C, THREAD-LOCKING, CERAMIC BALL","01 HIGH","1.0","4.0","0.25",,,
"AUS2","NA","3466208","USP","BEARING SPACER; INNER; 20 ID X 27 OD X 5 THICK","01 HIGH","1.0","28.0","0.0357",,,
"AUS2","NA","3466223","USP","243TEETH 32 T5/1215","01 HIGH","0.0","11.0","0.0",,,
"AUS2","NA","3466243","USP","LEFT HORIZONTAL SEAL BAR ASSY","01 HIGH","0.0","21.0","0.0",,,
"AUS2","NA","3466247","USP","KINETIX VP MOTOR CABLE","01 HIGH","1.0","21.0","0.0476",,,
"AUS2","NA","3466248","USP","PRECISION LINEAR SHAFT, DIA 12","01 HIGH","1.0","28.0","0.0357",,,
"AUS2","NA","3466251","USP","PIVOT BLOCK - LEFT HORIZONTAL","01 HIGH","1.0","21.0","0.0476",,,
"AUS2","NA","3466258","USP","LEFT VERTICAL SEAL BAR ASSY","01 HIGH","0.0","21.0","0.0",,,
"AUS2","NA","3466261","USP","SHANK THREAD SIZE(M10X1.25), ID 10MM, JAW OPENING W 10MM,","01 HIGH","1.0","3.0","0.3333",,,
"AUS2","NA","3546294","USP","Kinetix VP Motor Cable, 4m","01 HIGH","0.0","90.0","0.0",,,
"AUS2","NA","49225","USP","HEX HEAD CAP SCREW  CTM PM-FAHHSS50557","02 MED","2.0","10.0","0.2",,,
"AUS2","NA","49344","USP","Zebra ZE52163-R010000Z Print Engine","02 MED","0.0","10.0","0.0","0.0111","2.0",
"AUS2","NA","49960","USP","MDC100-050101 DRIVE","01 HIGH","0.0","21.0","0.0","0.0056","1.0",
"AUS2","NA","61591","USP","TUBE FITTING, M5 TO 4MM","02 MED","1.0","70.0","0.0143",,,
"AUS2","NA","72902","USP","kit,motor assy, high speed...","02 MED","0.0","126.0","0.0","0.0056","1.0",
"AUS2","NA","76580","USP","PROGRAMMED MAPLE DISPLAY UNIT FOR 3600A APPLICATOR","02 MED","0.0","14.0","0.0",,,
"AUS2","NA","N12270","USP","SMC Speed Control Valve: Elbow Fitting, Knob, 1/4 in/1/8 in Valve Body Size, 1/4 in Tube, Meter Out","01 HIGH","3.0","14.0","0.2143",,,
"AUS2","NA","N24793","USP","Slim Electromechanical Relay, SPDT, 6A,24VDC, PCB Terminal, 34 Series","01 HIGH","1.0",,,,,
"AUS2","NA","N37377","USP","SC300-2 SHOCK ABSORBER","02 MED","0.0","28.0","0.0",,,
"AUS2","NA","N37843","USP","REWIND CONTROL/POWER ON RELAY FOR 3600A APPLICATORS - PE-RE1017","02 MED","0.0","8.0","0.0",,,
"AUS2","NA","N41977","USP","R SERIES BEARING - .750 X 1.625 X .437","02 MED","2.0",,,,,
"AUS2","NA","N45907","USP","Valve flow control one way","02 MED","1.0",,,,,
"AUS2","NA","N53951","USP","RADIAL BALL BEARING","01 HIGH","1.0",,,,,
"AUS2","NA","N53964","USP","NEBV-S1G25-K-10-N-LE25-S6 CONNECTING CABLE","02 MED","0.0","63.0","0.0",,,
"AUS2","NA","N53977","USP","I110-E0454 SAFETY SWITCH","01 HIGH","0.0",,,,,
"AUS2","NA","N53990","USP","LINEAR RAIL","02 MED","1.0",,,,,
"AUS2","NA","N54020","USP","STOPPER BOLT, M6X1.0, L 20MM, WITH HEX SOCKET TIP, STRAIGHT TYPE, BUMPER URETHAN","02 MED","1.0",,,,,
"AUS2","NA","N54024","USP","TAPER-LOCK BUSHING, 1610 22MM BORE","02 MED","1.0",,,,,
"BDL4","NA","1001191","USP","VPL-B1003F-PJ12AA SERVO MOTOR","02 MED","0.0",,,"0.0111","2.0",
"BDL4","NA","1001803","USP","Switch, Auxiliary, Supplementary Protector Accessory","02 MED","0.0",,,"0.0111","2.0",
"BDL4","NA","10043","USP","PLC, CONTROLLER,PROGRAMMABLE:2-1/2 INHT,3-1/2 INWD,1-1/2 INDP,24 V DCVOLT,2.6 MACURRE","02 MED","0.0","32.0","0.0","0.0111","2.0",
"BDL4","NA","1004322","USP","PUSHBUTTON METAL LATCH","02 MED","1.0",,,"0.1278","23.0",
"BDL4","NA","10076","USP","UNWIND DANCER ARM UNWIND SPRING","02 MED","1.0",,,"0.0056","1.0",
"BDL4","NA","10086","USP","WASHER: CAPTURE CTM PM-FANU30375","03 LOW","1.0",,,"0.0111","2.0",
"BDL4","NA","10090","USP","Shoulder Screw,18-8 Stainless Steel,3/8"""" Shoulder Dia., 1"""" Shoulder Length,5/16-18 Thread,PK2","03 LOW","1.0",,,"0.0222","4.0",
"BDL4","NA","10095","USP","FLANGED BUSHING","03 LOW","1.0",,,"0.0222","4.0",
"BDL4","NA","10105","USP","SPRING: REWIND CLUTCH, MED DUTY, .97OD X .080 WIRE DIA","02 MED","1.0",,,"0.0111","2.0",
"BDL4","NA","1061526","USP","SERVO DRVE AMP JR_AUTO JR0000549642","02 MED","1.0",,,"0.1278","23.0",
"BDL4","NA","10683","USP","WHEEL, WHEEL: LOAD ASSEMBLY","01 HIGH","1.0",,,"0.0722","12.99",
"BDL4","NA","1069554","USP","POWER IO CABLE M12 FOR COGNEX CONN MODULE W DB9","02 MED","0.0","75.0","0.0",,,
"BDL4","NA","11082","USP","SMART PACK FILTER REPLACEMENT  (PID)","02 MED","1.0",,,"0.0333","6.0",
"BDL4","NA","11147","USP","VHI425A-GV W/ GV4G6","01 HIGH","0.0",,,"0.0333","6.0",
"BDL4","NA","1124355","USP","FIXED DRAW ROLLER, SMART PAC","02 MED","0.0","100.0","0.0","0.0056","1.0",
"BDL4","NA","14325","USP","WIRING TOOL required for insertion/extraction @ terminal strip","02 MED","1.0",,,,,
"BDL4","NA","19978","USP","TIME DELAY FUSE, 30A, CLASS J, 300KA, 600VAC","02 MED","1.0",,,"0.0278","5.0",
"BDL4","NA","3015435","USP","VERTICAL JAW CABLE MANAGEMENT BACKING PLATE","01 HIGH","1.0","42.0","0.0238",,,
"BDL4","NA","3022931","USP","MALE INSERT 5 PIN","01 HIGH","1.0","66.0","0.0152",,,
"BDL4","NA","3022934","USP","SMC Shock Absorber, RBC1007, 46.7 mm Body Length, 63.7 mm Body Length, M10 x 1 Thread Size","01 HIGH","2.0","38.0","0.0526",,,
"BDL4","NA","3022940","USP","VERTICAL JAW CABLE MANAGEMENT BACKING PLATE","01 HIGH","1.0","38.0","0.0263",,,
"BDL4","NA","3022941","USP","VERTICAL TOP, POWERSONIC MATED M12 + LBO2K","01 HIGH","2.0","70.0","0.0286",,,
"BDL4","NA","3022942","USP","CLAMP, LOOP NYLON 7/8"" X 1 1/2","01 HIGH","1.0","21.0","0.0476",,,
"BDL4","NA","3022943","USP","HORIZONTAL REAR, POWERSONIC MATED M12 + LBO3K","01 HIGH","2.0","70.0","0.0286",,,
"BDL4","NA","3022945","USP","VERTICAL BOTTOM LOAD CELL","01 HIGH","2.0","70.0","0.0286",,,
"BDL4","NA","3022947","USP","HORIZONTAL JAW CABLE MANAGEMENT BACKING PLATE","01 HIGH","1.0","38.0","0.0263",,,
"BDL4","NA","3022949","USP","MCMASTER ZIP TIE MOUNT","01 HIGH","1.0","24.0","0.0417",,,
"BDL4","NA","3022951","USP","RTD, PT100, DIA 3MM, L 18MM, 3","01 HIGH","1.0","38.0","0.0263",,,
"BDL4","NA","3022952","USP","GALVANIZED STEEL , EPDM CUSHIO","01 HIGH","1.0","24.0","0.0417",,,
"BDL4","NA","3022953","USP","GUARDING T-BLOCK","01 HIGH","5.0","24.0","0.2083",,,
"BDL4","NA","3022957","USP","WASHER, M5, SST","01 HIGH","1.0","24.0","0.0417",,,
"BDL4","NA","3022958","USP","DIVERT PLATE, TOP","01 HIGH","1.0","94.0","0.0106",,,
"BDL4","NA","3022959","USP","SHOULDER BOLT, 12MMX40MM, M10","02 MED","1.0","42.0","0.0238",,,
"BDL4","NA","3022961","USP","FRONT PLATE","01 HIGH","1.0","94.0","0.0106",,,
"BDL4","NA","3022964","USP","DIVERT PLATE, REJECT COVER","01 HIGH","1.0","94.0","0.0106",,,
"BDL4","NA","3022969","USP","VERTICAL CARTRIDGE HEATER","01 HIGH","1.0","66.0","0.0152",,,
"BDL4","NA","3022970","USP","CUTTING KNIFE ASSEMBLY","01 HIGH","4.0","108.0","0.037",,,
"BDL4","NA","3022971","USP","FAST CONNECTION-PEG","01 HIGH","1.0","24.0","0.0417",,,
"BDL4","NA","3022977","USP","GUIDED PNUEMATIC CYLINDER DFM-16-125-B-PPV-A-KF","01 HIGH","1.0","25.0","0.04",,,
"BDL4","NA","3022978","USP","LIDAR SENSOR PICS150-01000 core 1","01 HIGH","0.0","95.0","0.0",,,
"BDL4","NA","3022985","USP","ROTATED CABLE EXIT HORIZONTAL LOAD CELL HOLDER BLOCK","01 HIGH","1.0","24.0","0.0417",,,
"BDL4","NA","3026266","USP","Control Block","02 MED","1.0","21.0","0.0476",,,
"BDL4","NA","3029777","USP","Ring, Centering sleeve ZBH-7-B","01 HIGH","1.0","28.0","0.0357",,,
"BDL4","NA","3029778","USP","CABLE, NIP ROLLER MOTOR SERVO","01 HIGH","0.0","70.0","0.0",,,
"BDL4","NA","3031139","USP","RIGHT HORIZONTAL HEATER CABLE","01 HIGH","1.0","21.0","0.0476",,,
"BDL4","NA","3032133","USP","COMPRESSION SPRING T=1.4 OD=20 ID=17","01 HIGH","3.0","28.0","0.1071",,,
"BDL4","NA","3033957","USP","Ring, Centering sleeve ZBH-5-B","01 HIGH","1.0","28.0","0.0357",,,
"BDL4","NA","3037849","USP","RIGHT VER HEATER CABLE ASSY","01 HIGH","1.0","108.0","0.0093",,,
"BDL4","NA","3037850","USP","ZIP TIES, STANDARD","01 HIGH","0.0","24.0","0.0",,,
"BDL4","NA","3037851","USP","ALTERNATE PLASTIC P-CLIP (MUST DRILL MOUNTING HOLE TO M6)","01 HIGH","1.0","24.0","0.0417",,,
"BDL4","NA","3043388","USP","SENSOR REED PARA CILINDRO","02 MED","0.0","5.0","0.0",,,
"BDL4","NA","3043393","USP","FIFE ETHERNET CABLE","02 MED","0.0","56.0","0.0",,,
"BDL4","NA","3043399","USP","D-MAX WEB GUIDE CONTROLLER,INPUT VOLTAGE 24 - 48 VDC, 6 DIGITAL INPUTS, 2 OUTPUT","02 MED","1.0","56.0","0.0179",,,
"BDL4","NA","3043405","USP","SENSOR CABLE FEMALE 5-POLE M12 STRAIGHT A CODED TO OPEN END PUR BLACK 5M","02 MED","1.0","21.0","0.0476",,,
"BDL4","NA","33053","USP","SENSOR CABLE, 5M GREY, M12 FEMALE 8P STRAIGHT TO OPEN ENDED, CONTINUOUS FLEX, PUR-OB","02 MED","1.0",,,"0.0167","3.0",
"BDL4","NA","3361381","USP","Fork sensor","01 HIGH","1.0","56.0","0.0179",,,
"BDL4","NA","3466127","USP","SCANNER,BARCODE:DM363 SMARTPACK PRESENTATION READER","01 HIGH","1.0","14.0","0.0714",,,
"BDL4","NA","3466132","USP","PNUEMATIC FITTING","01 HIGH","1.0","21.0","0.0476",,,
"BDL4","NA","3466134","USP","ROLLING BEARING  61802-2RS1","01 HIGH","6.0","4.0","1.5",,,
"BDL4","NA","3466138","USP","VERTICAL VPL SERIES, FRAME SIZE 100MM, T WINDING, RATED SPEED 7200-80","01 HIGH","0.0","31.0","0.0",,,
"BDL4","NA","3466140","USP","KINETIX VP LOW INERTIA MOTOR,","01 HIGH","0.0","21.0","0.0",,,
"BDL4","NA","3466144","USP","SERVO DRIVE","01 HIGH","0.0","21.0","0.0",,,
"BDL4","NA","3466145","USP","RIGHT HORIZONTAL SEAL BAR ASSY","01 HIGH","1.0","21.0","0.0476",,,
"BDL4","NA","3466147","USP","COMPACT CYLINDER ADN-32-25-I-P-A-S2","01 HIGH","1.0","21.0","0.0476",,,
"BDL4","NA","3466149","USP","PIVOT BLOCK","01 HIGH","1.0","14.0","0.0714",,,
"BDL4","NA","3466152","USP","SENSOR MOUNT","01 HIGH","1.0","21.0","0.0476",,,
"BDL4","NA","3466153","USP","RIGHT VERTICAL SEAL BAR ASSY","01 HIGH","1.0","21.0","0.0476",,,
"BDL4","NA","3466158","USP","SPRING PLUNGER, BALL-NOSE HARD","01 HIGH","9.0","4.0","2.25",,,
"BDL4","NA","3466170","USP","DSNU, BORE 25MM, STROKE 100MM, DOUBLE ACTING, LATERAL AIR,","01 HIGH","1.0","21.0","0.0476",,,
"BDL4","NA","3466191","USP","ROD COUPLER, M10X1.25, STEEL (","01 HIGH","1.0","21.0","0.0476",,,
"BDL4","NA","3466204","USP","M8X1.25 X 16 MM LG, STROKE 1.5MM, MAX TEMP. 250C, THREAD-LOCKING, CERAMIC BALL","01 HIGH","5.0","4.0","1.25",,,
"BDL4","NA","3466208","USP","BEARING SPACER; INNER; 20 ID X 27 OD X 5 THICK","01 HIGH","5.0","28.0","0.1786",,,
"BDL4","NA","3466223","USP","243TEETH 32 T5/1215","01 HIGH","1.0","11.0","0.0909",,,
"BDL4","NA","3466243","USP","LEFT HORIZONTAL SEAL BAR ASSY","01 HIGH","1.0","21.0","0.0476",,,
"BDL4","NA","3466247","USP","KINETIX VP MOTOR CABLE","01 HIGH","0.0","21.0","0.0",,,
"BDL4","NA","3466248","USP","PRECISION LINEAR SHAFT, DIA 12","01 HIGH","1.0","28.0","0.0357",,,
"BDL4","NA","3466251","USP","PIVOT BLOCK - LEFT HORIZONTAL","01 HIGH","1.0","21.0","0.0476",,,
"BDL4","NA","3466258","USP","LEFT VERTICAL SEAL BAR ASSY","01 HIGH","1.0","21.0","0.0476",,,
"BDL4","NA","3466261","USP","SHANK THREAD SIZE(M10X1.25), ID 10MM, JAW OPENING W 10MM,","01 HIGH","3.0","3.0","1.0",,,
"BDL4","NA","3546294","USP","Kinetix VP Motor Cable, 4m","01 HIGH","0.0","90.0","0.0",,,
"BDL4","NA","49225","USP","HEX HEAD CAP SCREW  CTM PM-FAHHSS50557","02 MED","1.0",,,,,
"BDL4","NA","49345","USP","ZEBRA AIT PART KIT PRINTHEAD 300 DPI ZE521 RH & LH","01 HIGH","0.0","21.0","0.0","0.0223","4.01",
