"site","region","apn","product","part_description","sto_class","min_level","supplier_lead_time","expected_daily_rate","actual_daily_rate","consumed_180d","actual_vs_expected_ratio"
"SAV4","NA","1001803","USP","Switch, Auxiliary, Supplementary Protector Accessory","02 MED","1.0","42.0","0.0238","0.0167","3.0","0.7014"
"TPA4","NA","3043407","USP","SICK IME2S Series Non-Flush Inductive Non-Contact Safety Switch, 24V dc, Nickel Plated Brass Housing, 2NO, M12","01 HIGH","1.0","42.0","0.0238","0.0167","3.0","0.7014"
"MTN1","NA","3043407","USP","SICK IME2S Series Non-Flush Inductive Non-Contact Safety Switch, 24V dc, Nickel Plated Brass Housing, 2NO, M12","02 MED","2.0","21.0","0.0952","0.0667","12.0","0.7004"
"RIC4","NA","3466138","USP","VERTICAL VPL SERIES, FRAME SIZE 100MM, T WINDING, RATED SPEED 7200-80","01 HIGH","1.0","21.0","0.0476","0.0333","6.0","0.6993"
"SAN3","NA","3043436","USP","Kinetix 5700 Servo Drive","02 MED","1.0","21.0","0.0476","0.0333","6.0","0.6993"
"SAN3","NA","N53990","USP","LINEAR RAIL","03 LOW","1.0","21.0","0.0476","0.0333","6.0","0.6993"
"SBD6","NA","1001191","USP","VPL-B1003F-PJ12AA SERVO MOTOR","02 MED","1.0","21.0","0.0476","0.0333","6.0","0.6993"
"SCK6","NA","19978","USP","TIME DELAY FUSE, 30A, CLASS J, 300KA, 600VAC","02 MED","1.0","21.0","0.0476","0.0333","6.0","0.6993"
"SHV1","NA","1068918","URL","Zebra, P1112750-039, Platen/Pinch & Peel Rollers, LH/RH","03 LOW","1.0","63.0","0.0159","0.0111","2.0","0.6993"
"ORD5","NA","11409","USP","TAMPA","02 MED","1.0","25.0","0.04","0.0278","5.0","0.695"
"SAN3","NA","10086","USP","WASHER: CAPTURE CTM PM-FANU30375","03 LOW","1.0","25.0","0.04","0.0278","5.0","0.695"
"CLE3","NA","C-2832","EcoPac","PHOTOCEL S45-PH-5-B03-PH","01 HIGH","1.0","31.0","0.0323","0.0222","4.0","0.6882"
"CLE3","NA","C-2855","EcoPac","PHOTOCEL S45-PH-5-B03-PH","02 MED","2.0","31.0","0.0645","0.0444","8.0","0.6882"
"SHV1","NA","N53977","USP","I110-E0454 SAFETY SWITCH","02 MED","1.0","41.0","0.0244","0.0167","3.0","0.6847"
"SAV4","NA","49346","USP","ZEBRA AIT PART KIT PLATEN, PINCH, & PEEL ROLLERS ZE521 RH & LH","02 MED","2.0","35.0","0.0571","0.0388","6.99","0.679"
"SAV4","NA","1069554","USP","POWER IO CABLE M12 FOR COGNEX CONN MODULE W DB9","02 MED","1.0","40.0","0.025","0.0167","3.0","0.668"
"GEG1","NA","3022953","USP","GUARDING T-BLOCK","01 HIGH","5.0","24.0","0.2083","0.1389","25.0","0.6667"
"MQY1","NA","3464199","USP","SENSOR, FIBER OPTIC THIN ZERO SPACE, SIDE VIEW TYP","02 MED","2.0","30.0","0.0667","0.0444","8.0","0.666"
"SHV1","NA","3524582","EcoPac","PHOTOCEL S45-PH-5-B03-PH","02 MED","1.0","30.0","0.0333","0.0222","4.0","0.666"
"TPA4","NA","N24793","USP","Slim Electromechanical Relay, SPDT, 6A,24VDC, PCB Terminal, 34 Series","02 MED","1.0","30.0","0.0333","0.0222","4.0","0.666"
"YXU1","NA","1000078","USP","Sensor, proximity, SME-8M-DS-24V-K-0, 3-M8D","02 MED","1.0","15.0","0.0667","0.0444","8.0","0.666"
"YYC4","NA","N24793","USP","Slim Electromechanical Relay, SPDT, 6A,24VDC, PCB Terminal, 34 Series","01 HIGH","1.0","30.0","0.0333","0.0222","4.0","0.666"
"PDX8","NA","49345","USP","ZEBRA AIT PART KIT PRINTHEAD 300 DPI ZE521 RH & LH","02 MED","2.0","14.0","0.1429","0.0944","17.0","0.6608"
"OMA2","NA","49346","USP","ZEBRA AIT PART KIT PLATEN, PINCH, & PEEL ROLLERS ZE521 RH & LH","02 MED","1.0","29.0","0.0345","0.0222","4.0","0.6438"
"DUS4","EU","3043407","USP","SICK IME2S Series Non-Flush Inductive Non-Contact Safety Switch, 24V dc, Nickel Plated Brass Housing, 2NO, M12","02 MED","2.0","21.0","0.0952","0.0611","11.0","0.6416"
"TLH2","NA","1071516","USP","REPLACEMENT BELT – 18”W FOR CO","02 MED","2.0","21.0","0.0952","0.0611","11.0","0.6416"
"LUK2","NA","3022934","USP","SMC Shock Absorber, RBC1007, 46.7 mm Body Length, 63.7 mm Body Length, M10 x 1 Thread Size","01 HIGH","1.0","38.0","0.0263","0.0167","3.0","0.6346"
"SHV1","NA","3055556","URL","UL 489 CIRCUIT BREAKER, 2A, 1 POLE, CURVE C, 10KAIC @ 480/277VAC","02 MED","1.0","113.0","0.0088","0.0056","1.0","0.6328"
"RIC4","NA","3022970","USP","CUTTING KNIFE ASSEMBLY","01 HIGH","25.0","108.0","0.2315","0.1444","26.0","0.6238"
"DEN4","NA","3032133","USP","COMPRESSION SPRING T=1.4 OD=20 ID=17","01 HIGH","3.0","28.0","0.1071","0.0667","12.0","0.6225"
"GEG1","NA","3032133","USP","COMPRESSION SPRING T=1.4 OD=20 ID=17","01 HIGH","3.0","28.0","0.1071","0.0667","12.0","0.6225"
"DUS4","EU","61591","USP","TUBE FITTING, M5 TO 4MM","03 LOW","1.0","56.0","0.0179","0.0111","2.0","0.6216"
"IGQ1","NA","1071515","USP","Radial/Deep Groove Ball Bearing - Round Bore, 25 mm ID, 42 mm OD, 9 mm Width, Double Shielded, Internal Clearance","02 MED","1.0","28.0","0.0357","0.0222","4.0","0.6216"
"MQY1","NA","19978","USP","TIME DELAY FUSE, 30A, CLASS J, 300KA, 600VAC","02 MED","2.0","56.0","0.0357","0.0222","4.0","0.6216"
"MTN1","NA","3032133","USP","COMPRESSION SPRING T=1.4 OD=20 ID=17","01 HIGH","1.0","28.0","0.0357","0.0222","4.0","0.6216"
"OMA2","NA","10683","USP","WHEEL, WHEEL: LOAD ASSEMBLY","02 MED","2.0","28.0","0.0714","0.0444","8.0","0.6216"
"SCK6","NA","3466248","USP","PRECISION LINEAR SHAFT, DIA 12","01 HIGH","1.0","28.0","0.0357","0.0222","4.0","0.6216"
"SHV1","NA","3129312","URL","ILLUMINATED ESTOP STATION","02 MED","1.0","28.0","0.0357","0.0222","4.0","0.6216"
"SHV1","NA","3466149","USP","PIVOT BLOCK","02 MED","1.0","14.0","0.0714","0.0444","8.0","0.6216"
"SHV1","NA","76186","URL","UL1489, CIRCUIT BREAKER, UL1489, 1-POLE, TRIP CURVE C, 277VAC, 48VDC, 40 AMP","02 MED","1.0","28.0","0.0357","0.0222","4.0","0.6216"
"NCL1","EU","3043388","USP","SENSOR REED PARA CILINDRO","01 HIGH","2.0","55.0","0.0364","0.0222","4.0","0.6105"
"SHV1","NA","3288501","URL","Tension Roller Assembly","02 MED","1.0","55.0","0.0182","0.0111","2.0","0.6105"
"AKC1","NA","3037848","USP","LEFT VER HEATER CABLE ASSY","01 HIGH","1.0","108.0","0.0093","0.0056","1.0","0.6048"
"BDL4","NA","3037848","USP","LEFT VER HEATER CABLE ASSY","01 HIGH","1.0","108.0","0.0093","0.0056","1.0","0.6048"
"BDL4","NA","3037852","USP","LEFT HOR HEATER CABLE ASSY","01 HIGH","1.0","108.0","0.0093","0.0056","1.0","0.6048"
"DAB2","NA","3037848","USP","LEFT VER HEATER CABLE ASSY","01 HIGH","1.0","108.0","0.0093","0.0056","1.0","0.6048"
"DAB2","NA","3037852","USP","LEFT HOR HEATER CABLE ASSY","01 HIGH","1.0","108.0","0.0093","0.0056","1.0","0.6048"
"DET6","NA","3022970","USP","CUTTING KNIFE ASSEMBLY","01 HIGH","1.0","108.0","0.0093","0.0056","1.0","0.6048"
"IGQ1","NA","3022970","USP","CUTTING KNIFE ASSEMBLY","01 HIGH","1.0","108.0","0.0093","0.0056","1.0","0.6048"
"ORF3","NA","3037848","USP","LEFT VER HEATER CABLE ASSY","01 HIGH","1.0","108.0","0.0093","0.0056","1.0","0.6048"
"OXR1","NA","3037849","USP","RIGHT VER HEATER CABLE ASSY","01 HIGH","1.0","108.0","0.0093","0.0056","1.0","0.6048"
"TYS1","NA","3037848","USP","LEFT VER HEATER CABLE ASSY","01 HIGH","1.0","108.0","0.0093","0.0056","1.0","0.6048"
"YYC4","NA","3022970","USP","CUTTING KNIFE ASSEMBLY","01 HIGH","1.0","108.0","0.0093","0.0056","1.0","0.6048"
"OXR1","NA","3022970","USP","CUTTING KNIFE ASSEMBLY","01 HIGH","4.0","108.0","0.037","0.0222","4.0","0.5994"
"YXU1","NA","1073001","USP","3600 TAMP or SWING HOME SENSOR ASSEMBLY without MOUNT","02 MED","1.0","53.0","0.0189","0.0111","2.0","0.5883"
"CLE3","NA","1072130","URL","SHAWMUT, ATDR6, TIME DELAY, 6A, 600V","03 LOW","1.0","35.0","0.0286","0.0167","3.0","0.5845"
"MLI1","NA","61591","USP","TUBE FITTING, M5 TO 4MM","02 MED","1.0","35.0","0.0286","0.0167","3.0","0.5845"
"OMA2","NA","10191","USP","THRUST BALL BEARING, 3/4"" ID X 1-5/16"" OD X 9/32"" HT., STEEL","03 LOW","1.0","35.0","0.0286","0.0167","3.0","0.5845"
"ORD5","NA","3022950","USP","HORIZONTAL FRONT, POWERSONIC MATED M12 + LBO3K","01 HIGH","2.0","70.0","0.0286","0.0167","3.0","0.5845"
"ORD5","NA","3022982","USP","LEFT ISOLATOR PLATE","01 HIGH","2.0","70.0","0.0286","0.0167","3.0","0.5845"
"PAE2","NA","49346","USP","ZEBRA AIT PART KIT PLATEN, PINCH, & PEEL ROLLERS ZE521 RH & LH","02 MED","1.0","35.0","0.0286","0.0167","3.0","0.5845"
"POZ2","EU","3022943","USP","HORIZONTAL REAR, POWERSONIC MATED M12 + LBO3K","01 HIGH","2.0","70.0","0.0286","0.0167","3.0","0.5845"
"POZ2","EU","3022950","USP","HORIZONTAL FRONT, POWERSONIC MATED M12 + LBO3K","01 HIGH","2.0","70.0","0.0286","0.0167","3.0","0.5845"
"SAN3","NA","3022943","USP","HORIZONTAL REAR, POWERSONIC MATED M12 + LBO3K","01 HIGH","2.0","70.0","0.0286","0.0167","3.0","0.5845"
"SHV1","NA","10191","USP","THRUST BALL BEARING, 3/4"" ID X 1-5/16"" OD X 9/32"" HT., STEEL","02 MED","1.0","35.0","0.0286","0.0167","3.0","0.5845"
"SHV1","NA","103691","EcoPac","roll ø50x1,5 gravity","03 LOW","1.0","35.0","0.0286","0.0167","3.0","0.5845"
"SHV1","NA","49346","USP","ZEBRA AIT PART KIT PLATEN, PINCH, & PEEL ROLLERS ZE521 RH & LH","02 MED","1.0","35.0","0.0286","0.0167","3.0","0.5845"
"SYR1","NA","3022982","USP","LEFT ISOLATOR PLATE","01 HIGH","2.0","70.0","0.0286","0.0167","3.0","0.5845"
"DET6","NA","10683","USP","WHEEL, WHEEL: LOAD ASSEMBLY","01 HIGH","1.0","21.0","0.0476","0.0278","5.0","0.5838"
"DET6","NA","3015434","USP","SWIVEL GRIPPER HEAD","01 HIGH","1.0","21.0","0.0476","0.0278","5.0","0.5838"
"PDX8","NA","3015434","USP","SWIVEL GRIPPER HEAD","01 HIGH","1.0","21.0","0.0476","0.0278","5.0","0.5838"
"SAN3","NA","10095","USP","FLANGED BUSHING","03 LOW","1.0","21.0","0.0476","0.0278","5.0","0.5838"
