"site","region","apn","product","part_description","sto_class","consumed_30d","consumed_60d","consumed_90d","consumed_150d","consumed_all","rate_30d","rate_60d","rate_90d","rate_150d","days_with_consumption_150d"
"AGS1","NA","3022934","USP","SMC Shock Absorber, RBC1007, 46.7 mm Body Length, 63.7 mm Body Length, M10 x 1 Thread Size","01 HIGH","0.0","10.0","10.0","10.0","10.0","0.0","0.1667","0.1111","0.0667","2"
"AGS1","NA","3022945","USP","VERTICAL BOTTOM LOAD CELL","01 HIGH","2.0","2.0","2.0","2.0","2.0","0.0667","0.0333","0.0222","0.0133","2"
"AGS1","NA","3022970","USP","CUTTING KNIFE ASSEMBLY","01 HIGH","1.0","1.0","1.0","1.0","1.0","0.0333","0.0167","0.0111","0.0067","1"
"AGS1","NA","3022977","USP","GUIDED PNUEMATIC CYLINDER DFM-16-125-B-PPV-A-KF","01 HIGH","1.0","1.0","1.0","1.0","1.0","0.0333","0.0167","0.0111","0.0067","1"
"AGS1","NA","33053","USP","SENSOR CABLE, 5M GREY, M12 FEMALE 8P STRAIGHT TO OPEN ENDED, CONTINUOUS FLEX, PUR-OB","02 MED","3.0","3.0","3.0","3.0","3.0","0.1","0.05","0.0333","0.02","1"
"AGS1","NA","3466251","USP","PIVOT BLOCK - LEFT HORIZONTAL","01 HIGH","0.0","0.0","1.0","1.0","1.0","0.0","0.0","0.0111","0.0067","1"
"AGS1","NA","49345","USP","ZEBRA AIT PART KIT PRINTHEAD 300 DPI ZE521 RH & LH","02 MED","4.0","7.0","9.0","10.0","10.0","0.1333","0.1167","0.1","0.0667","12"
"AGS1","NA","61591","USP","TUBE FITTING, M5 TO 4MM","02 MED","0.0","0.0","5.0","5.0","5.0","0.0","0.0","0.0556","0.0333","3"
"AGS1","NA","N12270","USP","SMC Speed Control Valve: Elbow Fitting, Knob, 1/4 in/1/8 in Valve Body Size, 1/4 in Tube, Meter Out","02 MED","0.0","0.0","3.0","3.0","3.0","0.0","0.0","0.0333","0.02","2"
"AGS1","NA","N24793","USP","Slim Electromechanical Relay, SPDT, 6A,24VDC, PCB Terminal, 34 Series","01 HIGH","0.0","2.0","2.0","2.0","2.0","0.0","0.0333","0.0222","0.0133","1"
"AGS1","NA","N53951","USP","RADIAL BALL BEARING","02 MED","2.0","2.0","2.0","2.0","2.0","0.0667","0.0333","0.0222","0.0133","1"
"AGS1","NA","N53990","USP","LINEAR RAIL","02 MED","3.0","3.0","3.0","3.0","3.0","0.1","0.05","0.0333","0.02","1"
