"site","region","apn","product","part_description","sto_class","req_number","req_qty","req_date","days_open"
"SHV1","NA","3125137","URL","V1-W-10M-PVC, FEMALE CORDSET 10M CABLE","02 MED","1734545","2.0","2026-03-19","134"
"SHV1","NA","3127827","URL","Zebra, Kit, Wireless Wi-Fi 802,11ac, USA and Canada, Includes magnetic antenna mount, ZE511, ZE521, RH & LH","02 MED","1734545","4.0","2026-03-19","134"
"SHV1","NA","3132058","URL","METTLER TOLEDO 24114964 BELT","02 MED","1734545","4.0","2026-03-19","134"
"SHV1","NA","328138","URL","Toothed belt: 475-5MHP-15","02 MED","1734545","4.0","2026-03-19","134"
"SHV1","NA","3516102","URL","24408449 TOOTHED BELT PULLEY TL N36 5M","02 MED","1734545","3.0","2026-03-19","134"
"SHV1","NA","3516105","URL","CIRCUIT BREAKER 230VAC 1P 30552422","02 MED","1734545","3.0","2026-03-19","134"
"SHV1","NA","3516106","URL","CIRCUIT BREAKER 230VAC 6A 30552418","02 MED","1734545","3.0","2026-03-19","134"
"SHV1","NA","3516111","URL","RJ45 INDUSTRIAL PLUG 09451511100","02 MED","1734545","1.0","2026-03-19","134"
"SHV1","NA","3516116","URL","Break Band 410 mm","02 MED","1734545","12.0","2026-03-19","134"
"SHV1","NA","3516118","URL","UNWIND UNIT SPRINGS MT910532SP","02 MED","1734545","24.0","2026-03-19","134"
"SHV1","NA","3516120","URL","99-3379-100-03, M8 CABLE CONNECTOR","02 MED","1734545","2.0","2026-03-19","134"
"SHV1","NA","3516122","URL","RJ45 INDUSTRIAL PLUG 09451511100","02 MED","1734545","2.0","2026-03-19","134"
"SHV1","NA","3516129","URL","LED TUBE 16W 24VDC 4000-75800-1715016","02 MED","1734545","1.0","2026-03-19","134"
"SHV1","NA","3516135","URL","VW3E1142R030 HYBRID CABLE DB 4 DOWN","02 MED","1734545","2.0","2026-03-19","134"
"SHV1","NA","3516136","URL","VW3E1141R100 HYBRID CABLE 10M","02 MED","1734545","2.0","2026-03-19","134"
"SHV1","NA","3516137","URL","RJ45 INDUSTRIAL PLUG 09451511100","02 MED","1734545","4.0","2026-03-19","134"
"SHV1","NA","49347","URL","MEDIA DRIVE BELTS ZE511 ZE521 RH & LH","02 MED","1734545","4.0","2026-03-19","134"
"SHV1","NA","55600","URL","OUTLET FILTER, STANDARD, 255MMX255MM","02 MED","1734545","12.0","2026-03-19","134"
"SHV1","NA","65023","URL","Zebra Kit Medien Führung ZE500 Serie","02 MED","1734545","4.0","2026-03-19","134"
"SHV1","NA","65242","URL","Zebra, Kit Upper Segmented Pinch Roller Assembly ZE500-4 LH","02 MED","1734546","4.0","2026-03-19","134"
"SHV1","NA","65245","URL","Upper Segmented Pinch Roller Assembly ZE511 RH","02 MED","1734545","1.0","2026-03-19","134"
"SHV1","NA","66809","URL","TWO HOLE FLANGE BEARING GLCTEY","02 MED","1734545","4.0","2026-03-19","134"
"SHV1","NA","85098","EcoPac","Plug Socket With Cable","02 MED","1734545","2.0","2026-03-19","134"
"SHV1","NA","99304","URL","Spiratex components barcap 0,63""","02 MED","1734545","10.0","2026-03-19","134"
"SHV1","NA","N18792","URL","VLV AIR SOL DBL 2POS MTL SEAL","02 MED","1734545","1.0","2026-03-19","134"
"SHV1","NA","N24349","URL","Zebra, Kit Drive Gears for Ribbon Spindles ZE500 Series","02 MED","1734545","4.0","2026-03-19","134"
"SHV1","NA","N24364","URL","Zebra, Kit Ribbon Spindles ZE500-4 RH & LH","02 MED","1734545","4.0","2026-03-19","134"
"SHV1","NA","N36607","URL","SET CLLR 1-3/8 B SPLT 2P","02 MED","1734545","3.0","2026-03-19","134"
"AUS2","NA","1073001","USP","3600 TAMP or SWING HOME SENSOR ASSEMBLY without MOUNT","02 MED","1736125","2.0","2026-03-20","133"
"ORD5","NA","23103","USP","Time Delay, Cylindrical, Fuse, GDC Series, 250VAC, Indicating (5 PK)","03 LOW","1736122","1.0","2026-03-20","133"
"SYR1","NA","3025738","USP","COATED 9"" FOUR HOLE AIR ASSIST TUBE - MP-211-2230-9","02 MED","1735532","2.0","2026-03-20","133"
"YEG2","NA","49345","USP","ZEBRA AIT PART KIT PRINTHEAD 300 DPI ZE521 RH & LH","02 MED","1737522","1.0","2026-03-23","130"
"ORF4","NA","3077261","URL","Parallel plate with bearing and ball pins","02 MED","1740573","1.0","2026-03-25","128"
"ORF3","NA","3022934","USP","SMC Shock Absorber, RBC1007, 46.7 mm Body Length, 63.7 mm Body Length, M10 x 1 Thread Size","01 HIGH","1743424","25.0","2026-03-27","126"
"OMA2","NA","10043","USP","PLC, CONTROLLER,PROGRAMMABLE:2-1/2 INHT,3-1/2 INWD,1-1/2 INDP,24 V DCVOLT,2.6 MACURRE","02 MED","1746028","1.0","2026-03-30","123"
"GEG1","NA","226234","USP","SERIAL RS232 TO USB CONVERTER","02 MED","1753846","1.0","2026-04-06","116"
"SAT3","NA","3466248","USP","PRECISION LINEAR SHAFT, DIA 12","01 HIGH","1778376","2.0","2026-04-23","99"
"SHV1","NA","3077270","URL","Lower universal joint","02 MED","1776758","15.0","2026-04-23","99"
"SHV1","NA","3129293","URL","Vacuum Generator","02 MED","1776758","4.0","2026-04-23","99"
"DEN4","NA","1113249","USP","URGU48R1-04090N","02 MED","1778803","1.0","2026-04-24","98"
"ORF4","NA","1113249","USP","URGU48R1-04090N","02 MED","1781853","1.0","2026-04-27","95"
"PAE2","NA","132054","USP","ZEBRA - P1046696-146, EXTENDED LIFE DRIVE BELTS, ZE500/ZE511, HTC 8443.99.2550 C","02 MED","1781376","1.0","2026-04-27","95"
"SCK6","NA","23103","USP","Time Delay, Cylindrical, Fuse, GDC Series, 250VAC, Indicating (5 PK)","03 LOW","1782725","2.0","2026-04-28","94"
"DEN4","NA","1071515","USP","Radial/Deep Groove Ball Bearing - Round Bore, 25 mm ID, 42 mm OD, 9 mm Width, Double Shielded, Internal Clearance","02 MED","1784707","1.0","2026-04-29","93"
"SHV1","NA","3022943","USP","HORIZONTAL REAR, POWERSONIC MATED M12 + LBO3K","01 HIGH","1785259","1.0","2026-04-29","93"
"SHV1","NA","3022950","USP","HORIZONTAL FRONT, POWERSONIC MATED M12 + LBO3K","01 HIGH","1785259","1.0","2026-04-29","93"
"TLH2","NA","49225","USP","HEX HEAD CAP SCREW  CTM PM-FAHHSS50557","03 LOW","1788365","1.0","2026-05-01","91"
"FSD1","NA","1004322","USP","PUSHBUTTON METAL LATCH","01 HIGH","1789561","1.0","2026-05-04","88"
"PAE2","NA","3464199","USP","SENSOR, FIBER OPTIC THIN ZERO SPACE, SIDE VIEW TYP","01 HIGH","1789892","1.0","2026-05-04","88"
"ORD5","NA","10105","USP","SPRING: REWIND CLUTCH, MED DUTY, .97OD X .080 WIRE DIA","03 LOW","1792429","1.0","2026-05-05","87"
"BOS3","NA","3022943","USP","HORIZONTAL REAR, POWERSONIC MATED M12 + LBO3K","01 HIGH","1795233","3.0","2026-05-07","85"
"BOS3","NA","3022945","USP","VERTICAL BOTTOM LOAD CELL","01 HIGH","1795233","3.0","2026-05-07","85"
"BOS3","NA","3022950","USP","HORIZONTAL FRONT, POWERSONIC MATED M12 + LBO3K","01 HIGH","1795233","3.0","2026-05-07","85"
"TPA4","NA","3015435","USP","VERTICAL JAW CABLE MANAGEMENT BACKING PLATE","02 MED","1795058","1.0","2026-05-07","85"
"BOS3","NA","49225","USP","HEX HEAD CAP SCREW  CTM PM-FAHHSS50557","02 MED","1800216","1.0","2026-05-08","84"
"BOS3","NA","N12270","USP","SMC Speed Control Valve: Elbow Fitting, Knob, 1/4 in/1/8 in Valve Body Size, 1/4 in Tube, Meter Out","02 MED","1800216","5.0","2026-05-08","84"
"BOS3","NA","N45907","USP","Valve flow control one way","02 MED","1800216","1.0","2026-05-08","84"
"DAB2","NA","10683","USP","WHEEL, WHEEL: LOAD ASSEMBLY","02 MED","1799448","3.0","2026-05-08","84"
"HOU6","NA","N53951","USP","RADIAL BALL BEARING","01 HIGH","1796233","1.0","2026-05-08","84"
"SAV4","NA","3022931","USP","MALE INSERT 5 PIN","01 HIGH","1799200","1.0","2026-05-08","84"
"SAV4","NA","3022940","USP","VERTICAL JAW CABLE MANAGEMENT BACKING PLATE","01 HIGH","1799200","4.0","2026-05-08","84"
"SAV4","NA","3022942","USP","CLAMP, LOOP NYLON 7/8"" X 1 1/2","01 HIGH","1799200","1.0","2026-05-08","84"
"SAV4","NA","3022947","USP","HORIZONTAL JAW CABLE MANAGEMENT BACKING PLATE","01 HIGH","1799200","3.0","2026-05-08","84"
"SAV4","NA","3022951","USP","RTD, PT100, DIA 3MM, L 18MM, 3","01 HIGH","1799200","1.0","2026-05-08","84"
"SAV4","NA","3022969","USP","VERTICAL CARTRIDGE HEATER","01 HIGH","1799200","2.0","2026-05-08","84"
"SHV1","NA","3524238","EcoPac","PHOTOCEL S45-PH-5-B03-PH","02 MED","1795899","1.0","2026-05-08","84"
"SHV1","NA","3524374","EcoPac","PHOTOCEL S45-PH-5-B03-PH","02 MED","1795899","8.0","2026-05-08","84"
"SHV1","NA","3524557","EcoPac","ROLLER D55X958 D25","02 MED","1795899","2.0","2026-05-08","84"
"SHV1","NA","C-1204","EcoPac","PHOTOCEL S45-PH-5-B03-PH","01 HIGH","1795899","1.0","2026-05-08","84"
"SHV1","NA","C-1260","EcoPac","RELE' MY4-US 24VDC 4 SCAMBI","01 HIGH","1795899","1.0","2026-05-08","84"
"SHV1","NA","C-1346","EcoPac","SPRING D35X17.5 D3.5 N.4 SPIRE TORS","01 HIGH","1795899","3.0","2026-05-08","84"
"SHV1","NA","C-1804","EcoPac","REDUCER XC40 R 1: 7,5 PAM 14-105","01 HIGH","1795899","2.0","2026-05-08","84"
"SHV1","NA","C-2635","EcoPac","SLIDER  MGN  12 HZ0H","01 HIGH","1795899","6.0","2026-05-08","84"
"SHV1","NA","C-2808","EcoPac","VALVE  VUVG-L18-M52-MT-G14-1R8L","01 HIGH","1795899","1.0","2026-05-08","84"
"SHV1","NA","C-2812","EcoPac","SOLENOID VALVE VUVG-L18-P53U-T-G14-1R8L","01 HIGH","1795899","2.0","2026-05-08","84"
"SHV1","NA","C-2831","EcoPac","PHOTOCEL S45-PH-5-B03-PH","01 HIGH","1795899","3.0","2026-05-08","84"
"SHV1","NA","C-2832","EcoPac","PHOTOCEL S45-PH-5-B03-PH","01 HIGH","1795899","4.0","2026-05-08","84"
"SHV1","NA","C-3199","EcoPac","SEEGER E  20X1.2   UNI7435","01 HIGH","1795899","2.0","2026-05-08","84"
"SHV1","NA","C-3755","EcoPac","WHEEL D69X19.3 D47 FOLLE","01 HIGH","1795899","2.0","2026-05-08","84"
"SHV1","NA","C-3779","EcoPac","SHAFT D 25X696","01 HIGH","1795899","1.0","2026-05-08","84"
"SHV1","NA","C-3823","EcoPac","PHOTOCEL S45-PH-5-B03-PH","01 HIGH","1795899","2.0","2026-05-08","84"
"SHV1","NA","C-3825","EcoPac","PHOTOCEL S45-PH-5-B03-PH","01 HIGH","1795899","2.0","2026-05-08","84"
"SHV1","NA","C-3826","EcoPac","PHOTOCEL S45-PH-5-B03-PH","01 HIGH","1795899","3.0","2026-05-08","84"
"SHV1","NA","C-3827","EcoPac","PHOTOCEL S45-PH-5-B03-PH","01 HIGH","1795899","1.0","2026-05-08","84"
"SHV1","NA","C-3838","EcoPac","SHAFT D 25X1455","01 HIGH","1795899","1.0","2026-05-08","84"
"SYR1","NA","3022949","USP","MCMASTER ZIP TIE MOUNT","01 HIGH","1799121","2.0","2026-05-08","84"
"SYR1","NA","3022959","USP","SHOULDER BOLT, 12MMX40MM, M10","01 HIGH","1799121","1.0","2026-05-08","84"
"TYS1","NA","10086","USP","WASHER: CAPTURE CTM PM-FANU30375","03 LOW","1798567","2.0","2026-05-08","84"
"TYS1","NA","10087","USP","THREADED INSERT CTM C-PM-INS1010","03 LOW","1798567","1.0","2026-05-08","84"
"TYS1","NA","49225","USP","HEX HEAD CAP SCREW  CTM PM-FAHHSS50557","03 LOW","1798567","1.0","2026-05-08","84"
"YEG2","NA","49346","USP","ZEBRA AIT PART KIT PLATEN, PINCH, & PEEL ROLLERS ZE521 RH & LH","02 MED","1797848","2.0","2026-05-08","84"
"DET6","NA","N41977","USP","R SERIES BEARING - .750 X 1.625 X .437","02 MED","1803300","1.0","2026-05-10","82"
"BDL4","NA","3043388","USP","SENSOR REED PARA CILINDRO","02 MED","1805486","1.0","2026-05-11","81"
"MTN1","NA","1061526","USP","SERVO DRVE AMP JR_AUTO JR0000549642","02 MED","1804579","1.0","2026-05-11","81"
"MTN1","NA","1124355","USP","FIXED DRAW ROLLER, SMART PAC","02 MED","1804579","2.0","2026-05-11","81"
"MTN1","NA","3015435","USP","VERTICAL JAW CABLE MANAGEMENT BACKING PLATE","01 HIGH","1804579","2.0","2026-05-11","81"
"MTN1","NA","3022931","USP","MALE INSERT 5 PIN","01 HIGH","1804579","2.0","2026-05-11","81"
"MTN1","NA","3022933","USP","STANDARD HOOD TOP ENTRY","01 HIGH","1804579","2.0","2026-05-11","81"
"MTN1","NA","3022940","USP","VERTICAL JAW CABLE MANAGEMENT BACKING PLATE","01 HIGH","1804579","2.0","2026-05-11","81"
"MTN1","NA","3022941","USP","VERTICAL TOP, POWERSONIC MATED M12 + LBO2K","01 HIGH","1804579","4.0","2026-05-11","81"
"MTN1","NA","3022943","USP","HORIZONTAL REAR, POWERSONIC MATED M12 + LBO3K","01 HIGH","1804579","4.0","2026-05-11","81"
"MTN1","NA","3022944","USP","CAPTIVE GUARDING SCREWS","01 HIGH","1804579","13.0","2026-05-11","81"
"MTN1","NA","3022945","USP","VERTICAL BOTTOM LOAD CELL","01 HIGH","1804579","4.0","2026-05-11","81"
"MTN1","NA","3022947","USP","HORIZONTAL JAW CABLE MANAGEMENT BACKING PLATE","01 HIGH","1804579","2.0","2026-05-11","81"
"MTN1","NA","3022950","USP","HORIZONTAL FRONT, POWERSONIC MATED M12 + LBO3K","01 HIGH","1804579","4.0","2026-05-11","81"
"MTN1","NA","3022953","USP","GUARDING T-BLOCK","01 HIGH","1804579","25.0","2026-05-11","81"
"MTN1","NA","3022956","USP","ROTATED CABLE EXIT VERTICAL LOAD CELL HOLDER BLOCK","01 HIGH","1804579","2.0","2026-05-11","81"
"MTN1","NA","3022958","USP","DIVERT PLATE, TOP","01 HIGH","1804579","2.0","2026-05-11","81"
"MTN1","NA","3022961","USP","FRONT PLATE","01 HIGH","1804579","2.0","2026-05-11","81"
"MTN1","NA","3022964","USP","DIVERT PLATE, REJECT COVER","01 HIGH","1804579","2.0","2026-05-11","81"
"MTN1","NA","3022970","USP","CUTTING KNIFE ASSEMBLY","01 HIGH","1804579","6.0","2026-05-11","81"
"MTN1","NA","3022971","USP","FAST CONNECTION-PEG","01 HIGH","1804579","2.0","2026-05-11","81"
"MTN1","NA","3022978","USP","LIDAR SENSOR PICS150-01000 core 1","01 HIGH","1804579","1.0","2026-05-11","81"
"MTN1","NA","3022981","USP","UNDER JAW BULK HEAD PLATE","01 HIGH","1804579","2.0","2026-05-11","81"
"MTN1","NA","3022982","USP","LEFT ISOLATOR PLATE","01 HIGH","1804579","6.0","2026-05-11","81"
"MTN1","NA","3022985","USP","ROTATED CABLE EXIT HORIZONTAL LOAD CELL HOLDER BLOCK","01 HIGH","1804579","2.0","2026-05-11","81"
"MTN1","NA","3022987","USP","IO-LINK MASTER, ETHERNET/IP INTERFACE, TOTAL IN- AND OUTPUTS: 16, 4X 2A OUTPUTS","01 HIGH","1804579","2.0","2026-05-11","81"
"MTN1","NA","3029778","USP","CABLE, NIP ROLLER MOTOR SERVO","01 HIGH","1804579","1.0","2026-05-11","81"
"MTN1","NA","3031139","USP","RIGHT HORIZONTAL HEATER CABLE","01 HIGH","1804579","2.0","2026-05-11","81"
"MTN1","NA","3032133","USP","COMPRESSION SPRING T=1.4 OD=20 ID=17","01 HIGH","1804579","12.0","2026-05-11","81"
"MTN1","NA","3037849","USP","RIGHT VER HEATER CABLE ASSY","01 HIGH","1804579","2.0","2026-05-11","81"
"MTN1","NA","3037851","USP","ALTERNATE PLASTIC P-CLIP (MUST DRILL MOUNTING HOLE TO M6)","01 HIGH","1804579","2.0","2026-05-11","81"
"MTN1","NA","3361381","USP","Fork sensor","01 HIGH","1804579","2.0","2026-05-11","81"
"MTN1","NA","3466132","USP","PNUEMATIC FITTING","01 HIGH","1804579","2.0","2026-05-11","81"
"MTN1","NA","3466140","USP","KINETIX VP LOW INERTIA MOTOR,","01 HIGH","1804579","1.0","2026-05-11","81"
"MTN1","NA","3466144","USP","SERVO DRIVE","01 HIGH","1804579","1.0","2026-05-11","81"
"MTN1","NA","3466145","USP","RIGHT HORIZONTAL SEAL BAR ASSY","01 HIGH","1804579","2.0","2026-05-11","81"
"MTN1","NA","3466149","USP","PIVOT BLOCK","01 HIGH","1804579","2.0","2026-05-11","81"
"MTN1","NA","3466152","USP","SENSOR MOUNT","01 HIGH","1804579","2.0","2026-05-11","81"
"MTN1","NA","3466153","USP","RIGHT VERTICAL SEAL BAR ASSY","01 HIGH","1804579","2.0","2026-05-11","81"
"MTN1","NA","3466158","USP","SPRING PLUNGER, BALL-NOSE HARD","01 HIGH","1804579","30.0","2026-05-11","81"
"MTN1","NA","3466170","USP","DSNU, BORE 25MM, STROKE 100MM, DOUBLE ACTING, LATERAL AIR,","01 HIGH","1804579","2.0","2026-05-11","81"
"MTN1","NA","3466191","USP","ROD COUPLER, M10X1.25, STEEL (","01 HIGH","1804579","2.0","2026-05-11","81"
"MTN1","NA","3466208","USP","BEARING SPACER; INNER; 20 ID X 27 OD X 5 THICK","01 HIGH","1804579","24.0","2026-05-11","81"
"MTN1","NA","3466223","USP","243TEETH 32 T5/1215","01 HIGH","1804579","2.0","2026-05-11","81"
"MTN1","NA","3466243","USP","LEFT HORIZONTAL SEAL BAR ASSY","01 HIGH","1804579","2.0","2026-05-11","81"
"MTN1","NA","3466248","USP","PRECISION LINEAR SHAFT, DIA 12","01 HIGH","1804579","2.0","2026-05-11","81"
"MTN1","NA","3466258","USP","LEFT VERTICAL SEAL BAR ASSY","01 HIGH","1804579","2.0","2026-05-11","81"
"MTN1","NA","3546294","USP","Kinetix VP Motor Cable, 4m","01 HIGH","1804579","1.0","2026-05-11","81"
"SYR1","NA","3022943","USP","HORIZONTAL REAR, POWERSONIC MATED M12 + LBO3K","01 HIGH","1804606","1.0","2026-05-11","81"
"SYR1","NA","3022945","USP","VERTICAL BOTTOM LOAD CELL","01 HIGH","1804607","1.0","2026-05-11","81"
"SYR1","NA","3022950","USP","HORIZONTAL FRONT, POWERSONIC MATED M12 + LBO3K","01 HIGH","1804605","1.0","2026-05-11","81"
"RIC4","NA","10076","USP","UNWIND DANCER ARM UNWIND SPRING","02 MED","1810163","1.0","2026-05-14","78"
"RIC4","NA","10095","USP","FLANGED BUSHING","02 MED","1810163","2.0","2026-05-14","78"
"EMA2","EU","132054","USP","ZEBRA - P1046696-146, EXTENDED LIFE DRIVE BELTS, ZE500/ZE511, HTC 8443.99.2550 C","02 MED","10680527","2.0","2026-05-19","73"
"EMA2","EU","3022987","USP","IO-LINK MASTER, ETHERNET/IP INTERFACE, TOTAL IN- AND OUTPUTS: 16, 4X 2A OUTPUTS","01 HIGH","10680527","3.0","2026-05-19","73"
"SHV1","NA","C-1304","EcoPac","SENSOR SMT-8M-A-PS-24V-E-0.3-N-M8D","01 HIGH","1818543","9.0","2026-05-21","71"
"AUS2","NA","3466191","USP","ROD COUPLER, M10X1.25, STEEL (","01 HIGH","1821105","1.0","2026-05-22","70"
"TYS1","NA","49346","USP","ZEBRA AIT PART KIT PLATEN, PINCH, & PEEL ROLLERS ZE521 RH & LH","02 MED","1820477","1.0","2026-05-22","70"
"ORF4","NA","3008731","URL","REWINDER_BACKING_PAPER_LH","02 MED","1822638","1.0","2026-05-25","67"
"SYR1","NA","3022956","USP","ROTATED CABLE EXIT VERTICAL LOAD CELL HOLDER BLOCK","01 HIGH","1822224","1.0","2026-05-25","67"
"BDL4","NA","3022978","USP","LIDAR SENSOR PICS150-01000 core 1","01 HIGH","1827141","1.0","2026-05-28","64"
"BDL4","NA","3043405","USP","SENSOR CABLE FEMALE 5-POLE M12 STRAIGHT A CODED TO OPEN END PUR BLACK 5M","02 MED","1827141","1.0","2026-05-28","64"
"TPA4","NA","3022950","USP","HORIZONTAL FRONT, POWERSONIC MATED M12 + LBO3K","01 HIGH","1828402","2.0","2026-05-29","63"
"DET6","NA","3022943","USP","HORIZONTAL REAR, POWERSONIC MATED M12 + LBO3K","01 HIGH","1832495","6.0","2026-06-02","59"
"DUS4","EU","3022987","USP","IO-LINK MASTER, ETHERNET/IP INTERFACE, TOTAL IN- AND OUTPUTS: 16, 4X 2A OUTPUTS","01 HIGH","10687859","3.0","2026-06-03","58"
"DUS4","EU","132054","USP","ZEBRA - P1046696-146, EXTENDED LIFE DRIVE BELTS, ZE500/ZE511, HTC 8443.99.2550 C","02 MED","10689017","2.0","2026-06-04","57"
"ORF4","NA","1116749","EcoPac","PHOTOCEL S45-PH-5-B03-PH","01 HIGH","1834521","1.0","2026-06-04","57"
"ORF4","NA","3037852","USP","LEFT HOR HEATER CABLE ASSY","01 HIGH","1835218","1.0","2026-06-04","57"
"BDL4","NA","3022961","USP","FRONT PLATE","01 HIGH","1835939","1.0","2026-06-05","56"
"BDL4","NA","3466144","USP","SERVO DRIVE","01 HIGH","1835939","1.0","2026-06-05","56"
"HOU6","NA","3022948","USP","FLAT HEAD SOCKET CAP SCREW","01 HIGH","1837017","1.0","2026-06-05","56"
"PDX8","NA","3464199","USP","SENSOR, FIBER OPTIC THIN ZERO SPACE, SIDE VIEW TYP","01 HIGH","1836253","1.0","2026-06-05","56"
"PVD2","NA","3022934","USP","SMC Shock Absorber, RBC1007, 46.7 mm Body Length, 63.7 mm Body Length, M10 x 1 Thread Size","01 HIGH","1840552","5.0","2026-06-09","52"
"PVD2","NA","3015435","USP","VERTICAL JAW CABLE MANAGEMENT BACKING PLATE","01 HIGH","1841930","1.0","2026-06-10","51"
"SCK6","NA","3022934","USP","SMC Shock Absorber, RBC1007, 46.7 mm Body Length, 63.7 mm Body Length, M10 x 1 Thread Size","01 HIGH","1844203","2.0","2026-06-11","50"
"SHV1","NA","92775","URL","SERIES 7000 21"" X 5.85' (22 ROWS) TRANSVERSE ROLLER V3 GREY ACETAL WITH BLACK POLYURETHANE AND ORANGE WEAR RESISTANT ACETAL ROLLER AND WHITE NYLON AXLE BOXED BELT WITH NATURAL ABRASION RESISTANT RODS","02 MED","1842949","2.0","2026-06-11","50"
"YYC4","NA","3022985","USP","ROTATED CABLE EXIT HORIZONTAL LOAD CELL HOLDER BLOCK","01 HIGH","1843795","2.0","2026-06-11","50"
"BWI2","NA","1116318","USP","ULTRASONIC SENSOR, PICO+","02 MED","1845111","2.0","2026-06-12","49"
"CLE3","NA","3039997","URL","SUCTION CUP","01 HIGH","1845373","100.0","2026-06-12","49"
"SHV1","NA","3129282","URL","Drive Motor","02 MED","1845564","2.0","2026-06-12","49"
"SYR1","NA","3022941","USP","VERTICAL TOP, POWERSONIC MATED M12 + LBO2K","01 HIGH","1844381","1.0","2026-06-12","49"
"OXR1","NA","1071516","USP","REPLACEMENT BELT – 18”W FOR CO","02 MED","1845905","2.0","2026-06-13","48"
"ORD5","NA","3022945","USP","VERTICAL BOTTOM LOAD CELL","01 HIGH","1848357","1.0","2026-06-16","45"
"ABQ1","NA","3464199","USP","SENSOR, FIBER OPTIC THIN ZERO SPACE, SIDE VIEW TYP","02 MED","1851079","1.0","2026-06-17","44"
"AKC1","NA","3466258","USP","LEFT VERTICAL SEAL BAR ASSY","01 HIGH","1850423","2.0","2026-06-17","44"
"BOS3","NA","3022970","USP","CUTTING KNIFE ASSEMBLY","01 HIGH","1850850","10.0","2026-06-17","44"
"BOS3","NA","3022978","USP","LIDAR SENSOR PICS150-01000 core 1","01 HIGH","1850843","1.0","2026-06-17","44"
"BOS3","NA","3466138","USP","VERTICAL VPL SERIES, FRAME SIZE 100MM, T WINDING, RATED SPEED 7200-80","01 HIGH","1850843","1.0","2026-06-17","44"
"BOS3","NA","3466140","USP","KINETIX VP LOW INERTIA MOTOR,","01 HIGH","1850843","1.0","2026-06-17","44"
"BOS3","NA","3466243","USP","LEFT HORIZONTAL SEAL BAR ASSY","01 HIGH","1850843","1.0","2026-06-17","44"
"DAB2","NA","3043423","USP","FUSE,5 AMP,250V","02 MED","1850393","4.0","2026-06-17","44"
"PDX8","NA","3361381","USP","Fork sensor","01 HIGH","1850131","1.0","2026-06-17","44"
"SAV4","NA","3022945","USP","VERTICAL BOTTOM LOAD CELL","01 HIGH","1850966","2.0","2026-06-17","44"
"SAV4","NA","3022970","USP","CUTTING KNIFE ASSEMBLY","01 HIGH","1850966","6.0","2026-06-17","44"
"SAV4","NA","3022983","USP","RIGHT ISOLATOR PLATE","01 HIGH","1850966","1.0","2026-06-17","44"
"SAV4","NA","3466243","USP","LEFT HORIZONTAL SEAL BAR ASSY","01 HIGH","1850966","1.0","2026-06-17","44"
"SAV4","NA","3466258","USP","LEFT VERTICAL SEAL BAR ASSY","01 HIGH","1850966","1.0","2026-06-17","44"
"SHV1","NA","3008729","URL","Oldham coupling disk","02 MED","1851033","9.0","2026-06-17","44"
"SHV1","NA","3022982","USP","LEFT ISOLATOR PLATE","01 HIGH","1851036","2.0","2026-06-17","44"
"YHM1","NA","3466132","USP","PNUEMATIC FITTING","01 HIGH","1850264","1.0","2026-06-17","44"
"AGS1","NA","3029777","USP","Ring, Centering sleeve ZBH-7-B","01 HIGH","1852527","2.0","2026-06-18","43"
"AGS1","NA","3032133","USP","COMPRESSION SPRING T=1.4 OD=20 ID=17","01 HIGH","1852527","8.0","2026-06-18","43"
"ELP1","NA","3022934","USP","SMC Shock Absorber, RBC1007, 46.7 mm Body Length, 63.7 mm Body Length, M10 x 1 Thread Size","02 MED","1852446","16.0","2026-06-18","43"
"RIC4","NA","3022978","USP","LIDAR SENSOR PICS150-01000 core 1","01 HIGH","1852262","1.0","2026-06-18","43"
"SCK6","NA","3022981","USP","UNDER JAW BULK HEAD PLATE","01 HIGH","1852365","1.0","2026-06-18","43"
"AUS2","NA","3466248","USP","PRECISION LINEAR SHAFT, DIA 12","01 HIGH","1854018","2.0","2026-06-19","42"
"SBD6","NA","1061778","USP","RT-B1221","02 MED","1854325","1.0","2026-06-19","42"
"SYR1","NA","3015434","USP","SWIVEL GRIPPER HEAD","01 HIGH","1853213","5.0","2026-06-19","42"
"SYR1","NA","3029777","USP","Ring, Centering sleeve ZBH-7-B","01 HIGH","1853233","2.0","2026-06-19","42"
"SYR1","NA","3032133","USP","COMPRESSION SPRING T=1.4 OD=20 ID=17","01 HIGH","1853233","2.0","2026-06-19","42"
"SYR1","NA","3033957","USP","Ring, Centering sleeve ZBH-5-B","01 HIGH","1853233","2.0","2026-06-19","42"
"SYR1","NA","3037850","USP","ZIP TIES, STANDARD","01 HIGH","1853233","1.0","2026-06-19","42"
"SYR1","NA","3043376","USP","ZLD18-BFZ4B8 SIMPLE SENSE","01 HIGH","1853233","2.0","2026-06-19","42"
"SYR1","NA","3043407","USP","SICK IME2S Series Non-Flush Inductive Non-Contact Safety Switch, 24V dc, Nickel Plated Brass Housing, 2NO, M12","01 HIGH","1853233","2.0","2026-06-19","42"
"SYR1","NA","3466145","USP","RIGHT HORIZONTAL SEAL BAR ASSY","01 HIGH","1853256","1.0","2026-06-19","42"
"SYR1","NA","3546294","USP","Kinetix VP Motor Cable, 4m","01 HIGH","1853233","1.0","2026-06-19","42"
"SYR1","NA","94998","USP","CYLINDER, ISO, PROX, X100MM, DA, MAG C03","02 MED","1853233","1.0","2026-06-19","42"
