Region,Ship To Company Code,Order Number,Line Number,APN,APN Description,APN Category,Supplier ID,Supplier Name,Supplier Catalog Part Number,Site,Site Description,Site Location,Order Date,Approval Date,Receipt Date,Due Date,Due Date Based On Lead Time,Criticality,Lead Time Final,Unit Price,Currency,Goods Or Services,Order Status,Line Status,Coupa PO Error Detail,Coupa Integration Status,Coupa Transmission Status,Req Created By ,Ship To Address,Status,Supplier Lead Time,Past Due Days,Ordered Qty,Received Qty,Remaining Qty,OH Qty,Max Qty,Min Qty,Outstanding Amount
NA,2D,2D-22154508,1,49345,ZEBRA AIT PART KIT PRINTHEAD 300 DPI ZE521 RH & LH,PRINTER,8754978-12396,BARCODESINC,P1112750-013,PVD2,"AR Sortable FC - Johnston, RI",NAMERICA,7/29/26 0:00,7/29/26 0:00,,8/6/26 0:00,8/19/26 0:00,02 MED,21,417.75,USD,Goods,A,A,,,sent_via_email,EAM,"PVD2 FC Sortable (Johnston, RI, US)",issued,21,0,20,0,20,9,13,3,8355
NA,2D,2D-21762962,1,3466258,LEFT VERTICAL SEAL BAR ASSY,HEATER,24216849-758186,ATS CORPORATION,126022550,AKC1,"AR SORTABLE FC - Akron, OH",NAMERICA,6/23/26 0:00,6/23/26 0:00,,7/3/26 0:00,8/25/26 0:00,01 HIGH,63,3875,USD,Goods,A,A,,,sent_via_email,EAM,AKC1 OFFSITE Quickship,issued,63,0,2,0,2,1,2,0,7750
NA,2D,2D-22043214,1,3466258,LEFT VERTICAL SEAL BAR ASSY,HEATER,24216849-758186,ATS CORPORATION,126022550,ORF3,"AR Sortable FC - Suffolk, VA",NAMERICA,7/20/26 0:00,7/20/26 0:00,,9/25/26 0:00,9/21/26 0:00,01 HIGH,63,3875,USD,Goods,A,A,,,sent_via_email,EAM,ORF3 Offsite Richmond Express,issued,63,0,2,0,2,0,2,0,7750
NA,2D,2D-22146122,2,3466258,LEFT VERTICAL SEAL BAR ASSY,HEATER,24216849-758186,ATS CORPORATION,126022550,PDX8,"AR Sortable FC - Woodburn, OR",NAMERICA,7/29/26 0:00,7/29/26 0:00,,11/12/26 0:00,9/30/26 0:00,01 HIGH,63,3875,USD,Goods,A,A,,,sent_via_email,EAM,"PDX8 Sortable FC (Woodburn, OR, US)",issued,63,0,2,0,2,0,2,0,7750
NA,2D,2D-21220434,2,1071516,"BELT, Replacement, 3200 Series Belted End Drive Cleated CONV. with V-guide",BELT,24216849-758186,ATS CORPORATION,7607702,ORF3,"AR Sortable FC - Suffolk, VA",NAMERICA,5/4/26 0:00,5/4/26 0:00,,7/20/26 0:00,7/13/26 0:00,01 HIGH,70,925,USD,Goods,A,A,,,sent_via_email,EAM,ORF3 Offsite Richmond Express,issued,70,18,8,0,8,1,10,9,7400
NA,2D,2D-21745453,2,3022970,CUTTING KNIFE ASSEMBLY,ASSEMBLY,24216849-758186,ATS CORPORATION,10186289,SAV4,"AR Sortable FC - Pooler, GA",NAMERICA,6/22/26 0:00,6/22/26 0:00,,10/3/26 0:00,8/24/26 0:00,01 HIGH,63,1225,USD,Goods,A,A,,,sent_via_email,EAM,"SAV4 FC Sortable (Pent Wentworth, GA)",issued,63,0,6,0,6,15,21,20,7350
NA,2D,2D-20700592,2,3022943,"HORIZONTAL REAR, POWERSONIC MATED M12 + LBO3K",ASSEMBLY,24216849-758186,ATS CORPORATION,10306177,MTN1,"AR Sortable FC - Wilmington, DE",NAMERICA,3/17/26 0:00,3/17/26 0:00,,5/13/26 0:00,7/21/26 0:00,01 HIGH,126,1645,USD,Goods,A,A,,,sent_via_email,EAM,MTN1 Offsite,issued,126,10,4,0,4,0,4,2,6580
NA,2D,2D-20700592,4,3022950,"HORIZONTAL FRONT, POWERSONIC MATED M12 + LBO3K",ASSEMBLY,24216849-758186,ATS CORPORATION,10306173,MTN1,"AR Sortable FC - Wilmington, DE",NAMERICA,3/17/26 0:00,3/17/26 0:00,,5/13/26 0:00,7/21/26 0:00,01 HIGH,126,1645,USD,Goods,A,A,,,sent_via_email,EAM,MTN1 Offsite,issued,126,10,4,0,4,0,4,2,6580
NA,2D,2D-22029426,1,49344,"ZEBRA ZE521-63 RH, ETHERNET PRINT ENGINE",PRINTER,6470518-4521,INTELLIGRATED SYSTEMS LLC,90003814,RIC4,"AR Sortable FC - Richmond, VA",NAMERICA,7/17/26 0:00,7/17/26 0:00,,9/3/26 0:00,8/9/26 0:00,02 MED,23,6041.15,USD,Goods,A,A,,,sent_via_cxml,EAM,RIC4 Offsite Fastenal,issued,23,0,1,0,1,2,3,2,6041.15
NA,2D,2D-22073957,3,49344,"ZEBRA ZE521-63 RH, ETHERNET PRINT ENGINE",PRINTER,6470518-4521,INTELLIGRATED SYSTEMS LLC,90003814,SAV4,"AR Sortable FC - Pooler, GA",NAMERICA,7/22/26 0:00,7/22/26 0:00,,8/24/26 0:00,8/14/26 0:00,01 HIGH,23,6041.15,USD,Goods,A,A,,,sent_via_cxml,EAM,"SAV4 FC Sortable (Pent Wentworth, GA)",issued,23,0,1,0,1,0,2,1,6041.15
